,Año,Trimestre,Provincia,Mbps (Media de bajada)
143,2021,3,Tucumán,"42,1"
144,2021,2,Buenos Aires,"52,76"
145,2021,2,Capital Federal,"72,75"
146,2021,2,Catamarca,"42,19"
147,2021,2,Chaco,"37,4"
148,2021,2,Chubut,"7,68"
149,2021,2,Córdoba,"39,59"
150,2021,2,Corrientes,"30,37"
151,2021,2,Entre Ríos,"27,62"
152,2021,2,Formosa,"23,97"
153,2021,2,Jujuy,"25,81"
154,2021,2,La Pampa,"12,28"
155,2021,2,La Rioja,"38,53"
156,2021,2,Mendoza,"13,47"
157,2021,2,Misiones,"28,68"
158,2021,2,Neuquén,"36,11"
159,2021,2,Río Negro,"23,75"
160,2021,2,Salta,"29,24"
161,2021,2,San Juan,"6,99"
162,2021,2,San Luis,"21,66"
163,2021,2,Santa Cruz,"7,63"
164,2021,2,Santa Fe,"30,7"
165,2021,2,Santiago Del Estero,"12,72"
166,2021,2,Tierra Del Fuego,"8,59"
167,2021,2,Tucumán,"40,31"
168,2021,1,Buenos Aires,"50,79"
169,2021,1,Capital Federal,"68,29"
170,2021,1,Catamarca,"39,97"
171,2021,1,Chaco,"33,63"
172,2021,1,Chubut,"7,53"
173,2021,1,Córdoba,"36,17"
174,2021,1,Corrientes,"25,99"
175,2021,1,Entre Ríos,"23,87"
176,2021,1,Formosa,"20,98"
177,2021,1,Jujuy,"26,78"
178,2021,1,La Pampa,"10,73"
179,2021,1,La Rioja,"12,7"
180,2021,1,Mendoza,"12,6"
181,2021,1,Misiones,"25,08"
182,2021,1,Neuquén,"34,24"
183,2021,1,Río Negro,"21,92"
184,2021,1,Salta,"27,32"
185,2021,1,San Juan,"6,91"
186,2021,1,San Luis,"21,59"
187,2021,1,Santa Cruz,"7,5"
188,2021,1,Santa Fe,"28,13"
189,2021,1,Santiago Del Estero,"11,58"
190,2021,1,Tierra Del Fuego,"8,73"
191,2021,1,Tucumán,"37,98"
192,2020,4,Buenos Aires,"50,01"
193,2020,4,Capital Federal,"67,33"
194,2020,4,Catamarca,"37,65"
195,2020,4,Chaco,"32,45"
196,2020,4,Chubut,"7,38"
197,2020,4,Córdoba,"35,12"
198,2020,4,Corrientes,"25,45"
199,2020,4,Entre Ríos,"24,05"
200,2020,4,Formosa,"19,7"
201,2020,4,Jujuy,"25,21"
202,2020,4,La Pampa,"9,88"
203,2020,4,La Rioja,"12,53"
204,2020,4,Mendoza,"11,09"
205,2020,4,Misiones,"24,96"
206,2020,4,Neuquén,"33,91"
207,2020,4,Río Negro,"21,64"
208,2020,4,Salta,"25,32"
209,2020,4,San Juan,"6,41"
210,2020,4,San Luis,"21,25"
211,2020,4,Santa Cruz,"7,49"
212,2020,4,Santa Fe,"27,29"
213,2020,4,Santiago Del Estero,"11,28"
214,2020,4,Tierra Del Fuego,"8,49"
215,2020,4,Tucumán,"36,44"
216,2020,3,Buenos Aires,"48,38"
217,2020,3,Capital Federal,"63,81"
218,2020,3,Catamarca,"36,54"
219,2020,3,Chaco,"30,8"
220,2020,3,Chubut,"7,4"
221,2020,3,Córdoba,"33,51"
222,2020,3,Corrientes,"23,85"
223,2020,3,Entre Ríos,"22,43"
224,2020,3,Formosa,"18,28"
225,2020,3,Jujuy,"21,91"
226,2020,3,La Pampa,"10,7"
227,2020,3,La Rioja,"12,19"
228,2020,3,Mendoza,"10,19"
229,2020,3,Misiones,"24,14"
230,2020,3,Neuquén,"31,46"
231,2020,3,Río Negro,"21,08"
232,2020,3,Salta,"25,26"
233,2020,3,San Juan,"6,03"
234,2020,3,San Luis,"20,85"
235,2020,3,Santa Cruz,"6,65"
236,2020,3,Santa Fe,"25,69"
237,2020,3,Santiago Del Estero,"10,88"
238,2020,3,Tierra Del Fuego,"8,51"
239,2020,3,Tucumán,"34,84"
240,2020,2,Buenos Aires,"45,66"
241,2020,2,Capital Federal,"60,48"
242,2020,2,Catamarca,"34,93"
243,2020,2,Chaco,"27,95"
244,2020,2,Chubut,"7,61"
245,2020,2,Córdoba,"30,99"
246,2020,2,Corrientes,"22,15"
247,2020,2,Entre Ríos,"20,45"
248,2020,2,Formosa,"16,87"
249,2020,2,Jujuy,"15,86"
250,2020,2,La Pampa,"8,03"
251,2020,2,La Rioja,"11,67"
252,2020,2,Mendoza,"9,27"
253,2020,2,Misiones,"22,56"
254,2020,2,Neuquén,"29,1"
255,2020,2,Río Negro,"19,68"
256,2020,2,Salta,"22,56"
257,2020,2,San Juan,"6,31"
258,2020,2,San Luis,"21,02"
259,2020,2,Santa Cruz,"6,59"
260,2020,2,Santa Fe,"23,93"
261,2020,2,Santiago Del Estero,"10,41"
262,2020,2,Tierra Del Fuego,"8,13"
263,2020,2,Tucumán,"32,7"
