HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
11,4201,9379,2207,533,0,3,16334,2015-1-La Rioja,2015,1,La Rioja,16282.0,0.0,16.0,2.0,33.0,16333.0
287,24,169763,38,16,6,11,170145,2015-1-Mendoza,2015,1,Mendoza,152433.0,13030.0,2542.0,29.0,2126.0,170160.0
958,11136,51906,12387,8543,194,26,85150,2015-1-Misiones,2015,1,Misiones,58262.0,26836.0,30.0,5.0,13.0,85146.0
1895,2577,80787,170,4067,2,76,89574,2015-1-Neuquén,2015,1,Neuquén,47518.0,32152.0,1024.0,12088.0,2960.0,95742.0
3371,4913,86173,94,2632,2,42,97227,2015-1-Río Negro,2015,1,Río Negro,66274.0,25217.0,907.0,3473.0,1462.0,97333.0
1123,14151,64992,13955,2569,15,5,96810,2015-1-Salta,2015,1,Salta,76280.0,19781.0,47.0,129.0,574.0,96811.0
8,445,51346,0,0,0,2,51801,2015-1-San Juan,2015,1,San Juan,48441.0,451.0,755.0,1165.0,1007.0,51819.0
10,8,12720,0,1,0,2,12741,2015-1-San Luis,2015,1,San Luis,11414.0,1025.0,351.0,30.0,412.0,13232.0
205,27,26048,2,0,0,0,26282,2015-1-Santa Cruz,2015,1,Santa Cruz,16215.0,2700.0,392.0,4772.0,2562.0,26641.0
6883,93096,360964,45270,27597,1542,900,536252,2015-1-Santa Fe,2015,1,Santa Fe,328809.0,199037.0,2845.0,4239.0,1507.0,536437.0
701,9236,23136,4796,748,0,0,38617,2015-1-Santiago Del Estero,2015,1,Santiago Del Estero,33813.0,4365.0,19.0,1020.0,35.0,39252.0
14,609,36319,2,0,0,0,36944,2015-1-Tierra Del Fuego,2015,1,Tierra Del Fuego,22291.0,7924.0,657.0,1.0,2583.0,33456.0
107,27143,83895,23061,3722,334,0,138262,2015-1-Tucumán,2015,1,Tucumán,137857.0,115.0,116.0,88.0,100.0,138276.0
8226,132937,2250445,203620,104322,996,5406,2705953,2014-4-Buenos Aires,2014,4,Buenos Aires,1575978.0,1070135.0,120528.0,17728.0,32038.0,2816407.0
2698,62895,1038268,123450,95771,890,7997,1331972,2014-4-Capital Federal,2014,4,Capital Federal,455785.0,840224.0,17155.0,1962.0,15394.0,1330520.0
21,8047,14093,2910,421,0,1,25493,2014-4-Catamarca,2014,4,Catamarca,25192.0,241.0,16.0,0.0,44.0,25493.0
483,12837,42106,7908,2600,124,2,66060,2014-4-Chaco,2014,4,Chaco,55024.0,10918.0,31.0,0.0,62.0,66035.0
1858,6218,60392,70,0,0,0,68538,2014-4-Chubut,2014,4,Chubut,48539.0,697.0,891.0,12256.0,6159.0,68542.0
1903,85362,427844,41947,30858,1177,782,589873,2014-4-Córdoba,2014,4,Córdoba,345157.0,240452.0,419.0,3918.0,486.0,590432.0
40,13860,42182,7513,2106,0,9,65710,2014-4-Corrientes,2014,4,Corrientes,54754.0,9526.0,40.0,1315.0,75.0,65710.0
2311,27801,88649,18318,3584,1,66,140730,2014-4-Entre Ríos,2014,4,Entre Ríos,112291.0,23027.0,57.0,5178.0,260.0,140813.0
1947,7830,14058,1852,473,47,1,26208,2014-4-Formosa,2014,4,Formosa,21245.0,4896.0,1.0,0.0,65.0,26207.0
1880,10427,19740,3443,465,0,0,35955,2014-4-Jujuy,2014,4,Jujuy,31349.0,4583.0,22.0,37.0,11.0,36002.0
6266,6879,36520,26,5,4,10,49710,2014-4-La Pampa,2014,4,La Pampa,16043.0,34281.0,514.0,5894.0,648.0,57380.0
9,4333,9728,1943,386,0,3,16402,2014-4-La Rioja,2014,4,La Rioja,16352.0,0.0,17.0,0.0,33.0,16402.0
303,19,169222,36,14,5,12,169611,2014-4-Mendoza,2014,4,Mendoza,151797.0,13030.0,2534.0,31.0,2222.0,169614.0
547,11840,53093,8731,2952,54,12,77229,2014-4-Misiones,2014,4,Misiones,58435.0,18613.0,16.0,150.0,15.0,77229.0
1731,2744,80938,126,3621,2,66,89228,2014-4-Neuquén,2014,4,Neuquén,47721.0,31778.0,1014.0,11853.0,3030.0,95396.0
3640,4723,85094,94,2319,4,30,95904,2014-4-Río Negro,2014,4,Río Negro,66307.0,23703.0,901.0,3819.0,1530.0,96260.0
54,16214,63221,12552,1922,0,4,93967,2014-4-Salta,2014,4,Salta,76026.0,17289.0,48.0,6.0,578.0,93947.0
11,478,51628,0,0,0,2,52119,2014-4-San Juan,2014,4,San Juan,48653.0,451.0,740.0,1202.0,1073.0,52119.0
9,0,13135,0,0,1,2,13147,2014-4-San Luis,2014,4,San Luis,11419.0,926.0,355.0,24.0,423.0,13147.0
156,1400,24145,1,1,0,0,25703,2014-4-Santa Cruz,2014,4,Santa Cruz,17553.0,448.0,388.0,4395.0,2929.0,25713.0
8707,99962,359293,36718,21098,869,824,527471,2014-4-Santa Fe,2014,4,Santa Fe,335267.0,183009.0,3205.0,6282.0,1634.0,529397.0
